zona;marca;descripcion;calibre;fleje;precio;descuento;promo_nominal
Nunez;Rabieta;Cerveza Rabieta Golden 473 ml;473 ml;4175;2087.5;50;
Nunez;Quilmes;Cerveza Quilmes Clásica 473ml;473 ml;2770;2216;20;
Nunez;Pampa;Cerveza Pampa Brewing Lager 473 ml;473 ml;3210;1605;50;
Nunez;Corona;Cerveza Corona Rubia 330 ml;330 ml;4550;2730;40;
Nunez;Rabieta;Cerveza Rabieta Helles Munich 473 ml;473 ml;4175;2087.5;50;
Nunez;Michelob Ultra;Cerveza Michelob Ultra Sin Gluten 473 ml;473 ml;2889;1733.4;40;
Nunez;Quilmes;Cerveza Quilmes Clásica 710ml;710 ml;3965;3172;20;
Nunez;Ortuzar;Cerveza Ortuzar Premium Lager 710 ml;710 ml;3535;1944.25;45;
Nunez;Heineken;Cerveza Heineken Lata 710 ml;710 ml;6355;4130.75;35;
Nunez;Ortuzar;Cerveza Ortuzar Premium Lager 473 ml;473 ml;2245;1234.75;45;
Nunez;Stella Artois;Cervez Stella Artois 710 ml;710 ml;6205;4653.75;25;
Nunez;Heineken;Cerveza Rubia Heineken 473 ml;473 ml;4275;2778.75;35;
Nunez;1890;Cerveza 1890 Quilmes 473 ml;473 ml;2225;1557.5;30;
Nunez;Corona;Cerveza Rubia Corona 473 ml;473 ml;4929;3203.85;35;
Nunez;Stella Artois;Cerveza Stella Artois Botella 330 ml;330 ml;4079;2447.4;40;
Nunez;Andes Origen;Cerveza Andes Origen Rubia 710 ml;710 ml;4955;2477.5;50;
Nunez;Corona;Cerveza Corona Rubia 710 ml;710 ml;7490;5617.5;25;
Nunez;Stella Artois;Cerveza Stella Artois Lager 710 ml;710 ml;6389;3513.95;45;
Nunez;Schneider;Cerveza Schneider Rubia 710 ml;710 ml;3815;3815;0;
Nunez;Pampa;Cerveza Pampa Dorada Pampeana 473 ml;473 ml;3210;1605;50;
Nunez;Stella Artois;Cerveza Stella Artois Pure Gold 330 cm3;330 cm3;4485;3363.75;25;
Nunez;Imperial;Cerveza Imperial Golden 710 mL;710 ml;4785;3349.5;30;
Nunez;Estrella Galicia;Cerveza Estrella Galicia 473 ml;473 ml;3925;2551.25;35;
Nunez;Imperial;Cerveza Imperial Lager 710 ml;710 ml;4785;3349.5;30;
Nunez;Amstel;Cerveza Amstel Lager 710 ml;710 ml;4200;2940;30;
Nunez;Miller;Cerveza Miller 473 ml;473 ml;3729;2050.95;45;
Nunez;Peroni;Cerveza Peroni Botella 330 mL;330 ml;5499;3574.35;35;
Nunez;Guiness;Cerveza Guinness Hop House 13 Lager 473 ml;473 ml;4559;2507.45;45;
Nunez;Schneider;Cerveza Schneider Rubia 473 ml;473 ml;2615;2615;0;
Nunez;Michelob;Cerveza Michelob Ultra Porron 275 ml;275 ml;2785;2088.75;25;
Nunez;Heineken;Cerveza Heineken Porron 330 ml;330 ml;4449;2891.85;35;
Nunez;Budweiser;Cerveza Budweiser Lata 473 ml;473 ml;3060;2295;25;
Nunez;Ortuzar;Cerveza Ortuzar German Pils 473 ml;473 ml;3325;1828.75;45;
Nunez;Amstel;Cerveza Amstel Lager 473 ml;473 ml;2889;2166.75;25;
Nunez;Brahma;Cerveza Brahma Chopp 473 ml;473 ml;2919;2335.2;20;
Nunez;Miller;Cerveza Miller 600 ml;600 ml;6119;3365.45;45;
Nunez;Quilmes;Cerveza Quilmes Bajo Cero 473 ml;473 ml;1735;1735;0;
Nunez;Imperial;Cerveza Imperial Golden Lata 473 mL;473 ml;3325;3325;0;
Nunez;Imperial;Cerveza Imperial Lager 473 ml;473 ml;3325;3325;0;
Nunez;Warsteiner;Cerveza Warsteiner 473 ml;473 ml;3729;3729;0;
Nunez;Brahma;Cerveza Brahma Chopp Lata 354 ml;354 ml;1769;1326.75;25;
Nunez;Blue Moon;Cerveza Blanca Blue Moon 473 ml;473 ml;5015;2758.25;45;
Nunez;Grolsch;Cerveza Grolsch Lager Lata 473 ml;473 ml;4200;4200;0;
Nunez;Miller;Cerveza Blanca Miller Edición Limitada Porrón 330 ml;330 ml;4085;2246.75;45;
Nunez;Asahi;Cerveza Asahi Super Dry 330 ml;330 ml;5609;3645.85;35;
Nunez;Miller;Cerveza Miller Genuine Draft 710 ml;710 ml;5539;3877.3;30;
Nunez;Bavaria;Cerveza Bavaria Holland 500ml;500 ml;4045;4045;0;
Nunez;8.6;Cerveza 8.6 Original 500ml;500 ml;6529;6529;0;
Nunez;Salta;Cerveza Salta Cautiva Fresh Lager 473 ml;473 ml;3325;3325;0;
Nunez;Stones;Cerveza Stones Maracuyá 473 ml;473 ml;2880;2880;0;
Nunez;La Trappe;Cerveza Artesanal La Trappe Blond 330 ml;330 ml;8490;8490;0;
Nunez;Estrella Galicia;Cerveza Estrella Galicia Sin Gluten 330 ml;330 ml;3395;2206.75;35;
Nunez;Starberg;Cerveza Starberg Lager 500 ml;500 ml;2559;2559;0;
Nunez;Imperial;Cerveza Imperial Golden 300 ml;300 ml;3729;3729;0;
Nunez;Bierhaus;Cerveza Bierhaus Golden State Lager 473 ml;473 ml;3295;3295;0;
Nunez;Beepure;Cerveza Artesanal Beepure Blonde Ale 500 ml;500 ml;4295;4295;0;
Nunez;Bierhaus;Cerveza Bierhaus Chala Lager 473 ml;473 ml;4210;4210;0;
Nunez;Pampa;Cerveza Pampa Brewing Co Ipa 473 ml;473 ml;3210;1926;40;
Nunez;Pampa;Cerveza Pampa Brewing Honey Ale Lata 473 ml;473 ml;3210;1926;40;
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 730 ml;730 ml;7549;5284.3;30;
Nunez;Patagonia;Cerveza Patagonia 24.7 Session Ipa 473 ml;473 ml;5309;3716.3;30;
Nunez;Patagonia;Cerveza Patagonia 24.7 Session Ipa 730 mL;730 ml;7549;5284.3;30;
Nunez;Quilmes;Cerveza Quilmes Ipa 473 ml;473 ml;2745;2196;20;
