zona;marca;descripcion;calibre;fleje;precio;descuento;promo_nominal
Nunez;Quilmes;Cerveza Quilmes Clásica 473ml;473 ml;2770;2770;0;
Nunez;1890;Cerveza 1890 Quilmes 473 ml;473 ml;2225;1557.5;30;
Nunez;Brahma;Cerveza Brahma Chopp Lata 354 ml;354 ml;1769;1503.65;15;
Nunez;Michelob Ultra;Cerveza Michelob Ultra Sin Gluten 473 ml;473 ml;2889;2311.2;20;
Nunez;Corona;Cerveza Corona Rubia 710 ml;710 ml;7490;5617.5;25;
Nunez;Quilmes;Cerveza Quilmes Clásica 710ml;710 ml;3965;2577.25;35;
Nunez;Stella Artois;Cerveza Stella Artois 473 ml;473 ml;4269;3201.75;25;
Nunez;Pampa;Cerveza Pampa Brewing Lager 473 ml;473 ml;3210;1605;50;
Nunez;Stella Artois;Cervez Stella Artois 710 ml;710 ml;6205;4653.75;25;
Nunez;Ortuzar;Cerveza Ortuzar Premium Lager 710 ml;710 ml;3535;1944.25;45;
Nunez;Andes Origen;Cerveza Andes Origen Rubia Oro 473 ml;473 ml;3389;2541.75;25;
Nunez;Budweiser;Cerveza Budweiser Lata 473 ml;473 ml;3060;2295;25;
Nunez;Stella Artois;Cerveza Stella Artois Lager 710 ml;710 ml;6389;5111.2;20;
Nunez;Corona;Cerveza Rubia Corona 473 ml;473 ml;4929;3203.85;35;
Nunez;Heineken;Cerveza Rubia Heineken 473 ml;473 ml;4275;4275;0;
Nunez;Schneider;Cerveza Schneider Rubia 710 ml;710 ml;3815;3815;0;
Nunez;Corona;Cerveza Corona Rubia 330 ml;330 ml;4550;3640;20;
Nunez;Stella Artois;Cerveza Stella Artois Botella 330 ml;330 ml;4079;3059.25;25;
Nunez;Ortuzar;Cerveza Ortuzar Premium Lager 473 ml;473 ml;2245;1234.75;45;
Nunez;Andes Origen;Cerveza Andes Origen Rubia 710 ml;710 ml;4955;3964;20;
Nunez;Schneider;Cerveza Schneider Rubia 473 ml;473 ml;2615;2615;0;
Nunez;Stella Artois;Cerveza Stella Artois Pure Gold Lata 473 ml;473 ml;4389;3291.75;25;
Nunez;Ortuzar;Cerveza Ortuzar Golden Ale 473 ml;473 ml;3225;1773.75;45;
Nunez;Quilmes;Cerveza Quilmes Bajo Cero 473 ml;473 ml;1735;1735;0;
Nunez;Guiness;Cerveza Guinness Hop House 13 Lager 473 ml;473 ml;4559;2507.45;45;
Nunez;Stella Artois;Cerveza Stella Artois Pure Gold 330 cm3;330 cm3;4485;3363.75;25;
Nunez;Brahma;Cerveza Brahma Chopp 473 ml;473 ml;2919;2335.2;20;
Nunez;Estrella Galicia;Cerveza Estrella Galicia 473 ml;473 ml;3925;2551.25;35;
Nunez;Peroni;Cerveza Peroni Botella 330 mL;330 ml;5499;3574.35;35;
Nunez;Rabieta;Cerveza Rabieta Helles Munich 473 ml;473 ml;4175;2087.5;50;
Nunez;Miller;Cerveza Miller 473 ml;473 ml;3729;2050.95;45;
Nunez;Michelob;Cerveza Michelob Ultra Porron 275 ml;275 ml;2785;2088.75;25;
Nunez;Bierhaus;Cerveza Bierhaus Chala Lager 473 ml;473 ml;4210;4210;0;
Nunez;Bierhaus;Cerveza Bierhaus Golden State Lager 473 ml;473 ml;3295;3295;0;
Nunez;Imperial;Cerveza Imperial Golden 300 ml;300 ml;3729;3729;0;
Nunez;Beepure;Cerveza Artesanal Beepure Blonde Ale 500 ml;500 ml;4295;4295;0;
Nunez;Warsteiner;Cerveza Warsteiner 473 ml;473 ml;3729;3729;0;
Nunez;Starberg;Cerveza Starberg Lager 500 ml;500 ml;2559;2559;0;
Nunez;Imperial;Cerveza Imperial Golden Lata 473 mL;473 ml;3325;3325;0;
Nunez;Imperial;Cerveza Imperial Lager 473 ml;473 ml;3325;3325;0;
Nunez;Estrella Galicia;Cerveza Estrella Galicia Sin Gluten 330 ml;330 ml;3395;2206.75;35;
Nunez;Miller;Cerveza Miller 600 ml;600 ml;6119;3365.45;45;
Nunez;Blue Moon;Cerveza Blanca Blue Moon 473 ml;473 ml;5015;5015;0;
Nunez;Grolsch;Cerveza Grolsch Lager Lata 473 ml;473 ml;4200;4200;0;
Nunez;Andes Origen;Cerveza Andes Origen IPA 473 ml;473 ml;3569;2676.75;25;
Nunez;Ortuzar;Cerveza Ortuzar Session Ipa 473 ml;473 ml;3715;2043.25;45;
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 ml;473 ml;5205;2602.5;50;
Nunez;Patagonia;Cerveza Patagonia 24.7 Session Ipa 473 ml;473 ml;5309;5309;0;
Nunez;Stones;Cerveza Stones Maracuyá 473 ml;473 ml;2880;2880;0;
Nunez;Rabieta;Cerveza Rabieta American Ipa 473 ml;473 ml;4175;2505;40;
Nunez;Quilmes;Cerveza Quilmes Ipa 473 ml;473 ml;2745;2196;20;
Nunez;Salta;Cerveza Salta Cautiva Fresh Lager 473 ml;473 ml;3325;3325;0;
Nunez;Bavaria;Cerveza Bavaria Holland 500ml;500 ml;4045;4045;0;
Nunez;8.6;Cerveza 8.6 Original 500ml;500 ml;6529;6529;0;
Nunez;La Trappe;Cerveza Artesanal La Trappe Blond 330 ml;330 ml;8490;8490;0;
Nunez;Imperial;Cerveza Imperial Ipa 473 ml;473 ml;3495;3495;0;
Nunez;Bierhaus;Cerveza Bierhaus Chala Ipa 473 ml;473 ml;5109;5109;0;
Nunez;Bierhaus;Cerveza Bierhaus Red IPA Timeless Lata 473 ml;473 ml;4299;3224.25;25;
Nunez;Kunstmann;Cerveza Artesanal Kunstmann IPA 470 ml;470 ml;4850;4850;0;
Nunez;Pampa;Cerveza Pampa Brewing Honey Ale Lata 473 ml;473 ml;3210;1926;40;
Nunez;Ortuzar;Cerveza Ortuzar Poker Bourbon 473 ml;473 ml;3715;2043.25;45;
Nunez;Schneider;Cerveza Schneider Remix Límon 473 ml;473 ml;2889;2889;0;
Nunez;Bierhaus;Cerveza Bierhaus Ipa Superstar Lata 473 ml;473 ml;4299;4299;0;
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 730 ml;730 ml;7549;7549;0;
Nunez;Ortuzar;Cerveza Ortuzar Honey 473 ml;473 ml;3225;1773.75;45;
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 ml;473 ml;3569;2676.75;25;
Nunez;Patagonia;Cerveza Patagonia Amber Lager Lata 473 ml;473 ml;5309;5309;0;
Nunez;Patagonia;Cerveza Patagonia Roja Amber Lager 730 ml;730 ml;7549;7549;0;
Nunez;Ortuzar;Cerveza Ortuzar Scottish 473 ml;473 ml;3225;1773.75;45;
Nunez;Stones;Cerveza Stones Lemon 473 ml;473 ml;2880;2880;0;
Nunez;Quilmes;Cerveza Quilmes Stout 473 ml;473 ml;2745;2196;20;
Nunez;Guiness;Cerveza Guinness Extra Stout 473 ml;473 ml;4559;2963.35;35;
Nunez;Bierhaus;Cerveza Bierhaus Honey Lazybee 473 ml;473 ml;3360;3360;0;
Nunez;Imperial;Cerveza Imperial Apa 473 ml;473 ml;3529;3529;0;
Nunez;Bierhaus;Cerveza Argentipa Bierhaus 473 ml;473 ml;4210;4210;0;
Nunez;Bavaria;Cerveza Bavaria IPA 8.6 Lata 500ml;500 ml;6990;6990;0;
Nunez;Ortuzar;Cerveza Ortuzar Porter 473 ml;473 ml;3325;1828.75;45;
Nunez;Andes Origen;Cerveza Andes Origen Negra 473ml;473 ml;3499;2624.25;25;
Nunez;Ortuzar;Cerveza Ortuzar Dubbel 473 ml;473 ml;3325;1828.75;45;
Nunez;Pampa;Cerveza Pampa Brewing Amber Ale 473 ml;473 ml;3210;2086.5;35;
Nunez;Pampa;Cerveza Pampa Brewing Nitro Cream Stout 473 ml;473 ml;3210;2086.5;35;
Nunez;Stella Artois;Cerveza Stella Artois Noire Pura Malta 473 ml;473 ml;4309;3231.75;25;
Nunez;Rabieta;Cerveza Rabieta Red Honey 473 ml;473 ml;4175;2713.75;35;
Nunez;Rabieta;Cerveza Rabieta Irish Red Ale 473 ml;473 ml;4175;2713.75;35;
Nunez;Imperial;Cerveza Imperial Cream Stout 473 ml;473 ml;3529;3529;0;
Nunez;Bierhaus;Cerveza Bierhaus Scotch Momentum 473 ml;473 ml;3360;2520;25;
Nunez;Temple;Cerveza Temple Scottish 473 ml;473 ml;4500;2700;40;
Nunez;Kunstmann;Cerveza Kunstmann Torobayo 470 cm3;470 cm3;4850;4850;0;
Nunez;Beepure;Cerveza Artesanal Beepure Scottish 500 ml;500 ml;4685;4685;0;
Nunez;La Trappe;Cerveza Artesanal La Trappe Dubbel 330 ml;330 ml;8990;8990;0;
Nunez;Fuerte;Cerveza Fuerte 8.6 Oscura Red 500ml;500 ml;6225;6225;0;
Nunez;Quilmes;Cerveza Sin Alcohol 0.0% Quilmes 473 ml;473 ml;2305;1613.5;30;
Nunez;Imperial;Cerveza Imperial Golden Cero Alcohol 473 cm3;473 cm3;2229;2229;0;
Nunez;Corona;Cerveza Rubia Sin Alcohol 0.0% Corona 330 ml;330 ml;3855;2698.5;30;
Nunez;Heineken;Cerveza Heineken Cero Alcohol Lata 473 ml;473 ml;3289;2631.2;20;
Nunez;Estrella De Galicia;Cerveza Estrella De Galicia 0.0 Lata 330 ml;330 ml;3395;2206.75;35;
