zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Ortuzar;Cerveza Ortuzar Premium Lager 473 ml;473 ml;2245.0;1571.5;30
Nunez;Rabieta;Cerveza Rabieta Golden 473 ml;473 ml;4175.0;4175.0;0
Nunez;Quilmes;Cerveza Quilmes Clásica 473ml;473 ml;2589.0;2071.2;20
Nunez;Schneider;Cerveza Schneider Rubia 710 ml;710 ml;3815.0;2861.25;25
Nunez;Stella Artois;Cerveza Stella Artois 473 ml;473 ml;4269.0;2561.4;40
Nunez;Corona;Cerveza Corona Rubia 330 ml;330 ml;4550.0;2730.0;40
Nunez;Pampa;Cerveza Pampa Brewing Lager 473 ml;473 ml;3210.0;1605.0;50
Nunez;Michelob Ultra;Cerveza Michelob Ultra Sin Gluten 473 ml;473 ml;2889.0;1733.4;40
Nunez;Heineken;Cerveza Heineken Lata 710 ml;710 ml;6355.0;5401.75;15
Nunez;Corona;Cerveza Corona Rubia 710 ml;710 ml;7490.0;5617.5;25
Nunez;Corona;Cerveza Rubia Corona 473 ml;473 ml;4929.0;3203.85;35
Nunez;Stella Artois;Cervez Stella Artois 710 ml;710 ml;6205.0;4653.75;25
Nunez;Stella Artois;Cerveza Stella Artois Botella 330 ml;330 ml;4079.0;2447.4;40
Nunez;Quilmes;Cerveza Quilmes Clásica 710ml;710 ml;3965.0;3172.0;20
Nunez;Ortuzar;Cerveza Ortuzar Premium Lager 710 ml;710 ml;3535.0;2121.0;40
Nunez;Stella Artois;Cerveza Stella Artois Lager 710 ml;710 ml;6260.0;3443.0;45
Nunez;Andes Origen;Cerveza Andes Origen Rubia 710 ml;710 ml;4955.0;2477.5;50
Nunez;Andes Origen;Cerveza Andes Origen Rubia Lata 473 ml;473 ml;3410.0;2557.5;25
Nunez;1890;Cerveza 1890 Quilmes 473 ml;473 ml;2225.0;1557.5;30
Nunez;Brahma;Cerveza Brahma Chopp Rubia 710 ml;710 ml;4200.0;2730.0;35
Nunez;Rabieta;Cerveza Rabieta Helles Munich 473 ml;473 ml;4175.0;2087.5;50
Nunez;Estrella Galicia;Cerveza Estrella Galicia 473 ml;473 ml;3925.0;3925.0;50
Nunez;Stella Artois;Cerveza Stella Artois Pure Gold 330 cm3;330 cm3;4485.0;3363.75;25
Nunez;Heineken;Cerveza Rubia Heineken 473 ml;473 ml;4275.0;4275.0;0
Nunez;Miller;Cerveza Miller 473 ml;473 ml;3729.0;2050.95;45
Nunez;Budweiser;Cerveza Budweiser Lata 473 ml;473 ml;3060.0;2295.0;25
Nunez;Stella Artois;Cerveza Stella Artois Pure Gold Lata 473 ml;473 ml;4389.0;2852.85;35
Nunez;Schneider;Cerveza Schneider Rubia 473 ml;473 ml;2615.0;1961.25;25
Nunez;Guiness;Cerveza Guinness Hop House 13 Lager 473 ml;473 ml;4559.0;2735.4;40
Nunez;Michelob;Cerveza Michelob Ultra Porron 275 ml;275 ml;3189.0;2391.75;25
Nunez;Ortuzar;Cerveza Ortuzar German Pils 473 ml;473 ml;3325.0;2327.5;30
Nunez;Ortuzar;Cerveza Ortuzar Golden Ale 473 ml;473 ml;3225.0;2257.5;30
Nunez;Amstel;Cerveza Amstel Lager 710 ml;710 ml;4200.0;4200.0;0
Nunez;Peroni;Cerveza Peroni Botella 330 mL;330 mL;5245.0;5245.0;0
Nunez;Pampa;Cerveza Pampa Dorada Pampeana 473 ml;473 ml;3210.0;3210.0;0
Nunez;Miller;Cerveza Miller 600 ml;600 ml;6119.0;3365.45;45
Nunez;Heineken;Cerveza Heineken Porron 330 ml;330 ml;4449.0;4449.0;0
Nunez;Amstel;Cerveza Amstel Lager 473 ml;473 ml;2889.0;2889.0;0
Nunez;Blue Moon;Cerveza Blanca Blue Moon 473 ml;473 ml;5015.0;3761.25;25
Nunez;Estrella Galicia;Cerveza Estrella Galicia Sin Gluten 330 ml;330 ml;3925.0;3925.0;70
Nunez;Brahma;Cerveza Brahma Chopp Lata 354 ml;354 ml;1769.0;1326.75;25
Nunez;Grolsch;Cerveza Grolsch Lager Lata 473 ml;473 ml;4200.0;2940.0;30
Nunez;Brahma;Cerveza Brahma Chopp 473 ml;473 ml;2919.0;2919.0;0
Nunez;Quilmes;Cerveza Quilmes Bajo Cero 473 ml;473 ml;1735.0;1735.0;0
Nunez;Temple;Cerveza Temple Indie Golden 473 ml;473 ml;4500.0;2700.0;40
Nunez;Bierhaus;Cerveza Bierhaus Chala Lager 473 ml;473 ml;4210.0;3157.5;25
Nunez;Miller;Cerveza Blanca Miller Edición Limitada Porrón 330 ml;330 ml;4085.0;2246.75;45
Nunez;Imperial;Cerveza Imperial Golden Lata 473 mL;473 mL;3325.0;3325.0;0
Nunez;Starberg;Cerveza Starberg Lager 500 ml;500 ml;2559.0;2559.0;0
Nunez;Imperial;Cerveza Imperial Lager 473 ml;473 ml;3325.0;3325.0;0
Nunez;Asahi;Cerveza Asahi Super Dry 330 ml;330 ml;5609.0;5609.0;0
Nunez;Beepure;Cerveza Artesanal Beepure Blonde Ale 500 ml;500 ml;4295.0;4295.0;0
Nunez;Bierhaus;Cerveza Bierhaus Golden State Lager 473 ml;473 ml;3295.0;3295.0;0
Nunez;Warsteiner;Cerveza Warsteiner 473 ml;473 ml;3729.0;2610.3;30
Nunez;Imperial;Cerveza Imperial Golden 300 ml;300 ml;3729.0;3729.0;0
Nunez;Miller;Cerveza Miller Genuine Draft 710 ml;710 ml;5539.0;5539.0;0
Nunez;Salta;Cerveza Salta Cautiva Fresh Lager 473 ml;473 ml;3325.0;3325.0;0
Nunez;Rabieta;Cerveza Rabieta American Ipa 473 ml;473 ml;4175.0;2505.0;40
Nunez;Ortuzar;Cerveza Ortuzar Session Ipa 473 ml;473 ml;3715.0;2600.5;30
Nunez;Pampa;Cerveza Pampa Brewing Honey Ale Lata 473 ml;473 ml;3210.0;1926.0;40
Nunez;Andes Origen;Cerveza Andes Origen IPA 473 ml;473 ml;3499.0;2624.25;30
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 ml;473 ml;5205.0;3643.5;30
Nunez;Patagonia;Cerveza Patagonia 24.7 Session Ipa 473 ml;473 ml;5309.0;3716.3;30
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 730 ml;730 ml;7549.0;4151.95;45
Nunez;Patagonia;Cerveza Patagonia 24.7 Session Ipa 730 mL;730 mL;7549.0;5284.3;30
Nunez;Pampa;Cerveza Pampa Brewing Co Ipa 473 ml;473 ml;3210.0;2086.5;35
Nunez;Bierhaus;Cerveza Bierhaus Ipa Superstar Lata 473 ml;473 ml;4299.0;3224.25;25
Nunez;Quilmes;Cerveza Quilmes Ipa 473 ml;473 ml;2745.0;2196.0;20
Nunez;Ortuzar;Cerveza Ortuzar Poker Bourbon 473 ml;473 ml;3715.0;2600.5;30
Nunez;Ortuzar;Cerveza Ortuzar Honey 473 ml;473 ml;3225.0;2257.5;30
Nunez;Bierhaus;Cerveza Bierhaus Chala Ipa 473 ml;473 ml;5109.0;3831.75;25
Nunez;Schneider;Cerveza Schneider Remix Límon 473 ml;473 ml;2889.0;2022.3;30
Nunez;Kunstmann;Cerveza Artesanal Kunstmann IPA 470 ml;470 ml;4850.0;4850.0;0
Nunez;Bierhaus;Cerveza Argentipa Bierhaus 473 ml;473 ml;4210.0;3157.5;25
Nunez;Imperial;Cerveza Imperial Ipa 473 ml;473 ml;3495.0;3495.0;0
Nunez;Bierhaus;Cerveza Bierhaus Apa Boss Town 473 ml;473 ml;4210.0;4210.0;0
Nunez;Imperial;Cerveza Imperial Apa 473 ml;473 ml;3529.0;3529.0;0
Nunez;Bierhaus;Cerveza Bierhaus Honey Lazybee 473 ml;473 ml;3360.0;3360.0;0
Nunez;Blue Moon;Cerveza Bluemoon Belgian White 355 ml;355 ml;5575.0;4181.25;25
Nunez;Grolsch;Cerveza Grolsch Ipa 473 ml;473 ml;4430.0;3101.0;30
Nunez;Bierhaus;Cerveza Bierhaus Red IPA Timeless Lata 473 ml;473 ml;4299.0;4299.0;0
Nunez;Temple;Cerveza Temple Wolf Ipa 473 ml;473 ml;4955.0;2477.5;50
Nunez;Quilmes;Cerveza Quilmes Stout 473 ml;473 ml;2745.0;1921.5;30
Nunez;Pampa;Cerveza Pampa Brewing Amber Ale 473 ml;473 ml;3210.0;1926.0;40
Nunez;Pampa;Cerveza Pampa Brewing Nitro Cream Stout 473 ml;473 ml;3210.0;2086.5;35
Nunez;Patagonia;Cerveza Patagonia Amber Lager Lata 473 ml;473 ml;5309.0;3716.3;30
Nunez;Patagonia;Cerveza Patagonia Roja Amber Lager 730 ml;730 ml;7549.0;4151.95;45
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 ml;473 ml;3569.0;2676.75;25
Nunez;Ortuzar;Cerveza Ortuzar Dubbel 473 ml;473 ml;3325.0;2327.5;30
Nunez;Ortuzar;Cerveza Ortuzar Scottish 473 ml;473 ml;3225.0;2257.5;30
Nunez;Ortuzar;Cerveza Ortuzar Porter 473 ml;473 ml;3325.0;2327.5;30
Nunez;Andes Origen;Cerveza Andes Origen Negra 473ml;473 ml;3499.0;2624.25;25
Nunez;Guiness;Cerveza Guinness Extra Stout 473 ml;473 ml;4559.0;3191.3;30
Nunez;Stella Artois;Cerveza Stella Artois Noire Pura Malta 473 ml;473 ml;4309.0;3231.75;25
Nunez;Rabieta;Cerveza Rabieta Red Honey 473 ml;473 ml;4175.0;2505.0;40
Nunez;Rabieta;Cerveza Rabieta Irish Red Ale 473 ml;473 ml;4175.0;2713.75;35
Nunez;Imperial;Cerveza Imperial Cream Stout 473 ml;473 ml;3455.0;3455.0;0
Nunez;Kunstmann;Cerveza Kunstmann Torobayo 470 cm3;470 cm3;4850.0;4850.0;0
Nunez;Antares;Cerveza Antares Scotch 473 ml;473 ml;4825.0;3377.5;30
Nunez;Bierhaus;Cerveza Bierhaus Scotch Momentum 473 ml;473 ml;3360.0;3360.0;0
Nunez;Quilmes;Cerveza Sin Alcohol 0.0% Quilmes 473 ml;473 ml;2305.0;1613.5;30
Nunez;Stella Artois;Cerveza Stella Artois Sin Alcohol 330 ml;330 ml;3335.0;2334.5;30
Nunez;Corona;Cerveza Rubia Sin Alcohol 0.0% Corona 330 ml;330 ml;3855.0;2698.5;30
